"BirdMeat_DismantleActions[0].ActionName","食用","食用"
"Cod_Bp_Base_Organizer_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_Base_Organizer_CardDescription"," A storage box made of simply sewn plastic. \n\n Can protect the stored items from being disturbed by other factors.","塑料简易缝合而成的收纳盒。\n\n可以保护存储物不受其他因素干扰。"
"Cod_Bp_Base_Organizer_CardName"," Storage Box","储物箱"
"Cod_Bp_Base_Organizer_UnlockConditionsDesc"," Need to find the corresponding material prototype","需要找到对应材料原型"
"Cod_Bp_Base_PlasticTent_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_Base_PlasticTent_CardDescription"," A makeshift home. \n\n A peaceful habitat in the end times.","一个临时搭建的家。\n\n末世之中一个宁静栖息地。"
"Cod_Bp_Base_PlasticTent_CardName"," tent","帐篷"
"Cod_Bp_Base_PlasticTent_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
"Cod_Bp_BloodCraft_MeatMountain_Full_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_BloodCraft_MeatMountain_Full_CardDescription"," Made up of an accumulation of decaying flesh. \n\n Zombies and creatures noticed being attracted to the vicinity.","由腐肉堆积而成。\n\n注意到有僵尸和生物被吸引至附近。"
"Cod_Bp_BloodCraft_MeatMountain_Full_CardName"," Rotten Pile","腐堆"
"Cod_Bp_BloodCraft_MeatMountain_Full_UnlockConditionsDesc","Requires a higher crafting level or blueprint","需要更高的制作等级或者图纸"
"Cod_Bp_BloodPlage_ScarletPreparation_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_BloodPlage_ScarletPreparation_CardDescription"," A bottle of red preparation.","一瓶红色制剂。"
"Cod_Bp_BloodPlage_ScarletPreparation_CardName"," Scarlet preparation","猩红制剂"
"Cod_Bp_BloodPlage_ScarletPreparation_UnlockConditionsDesc","Requires a higher crafting level or blueprint","需要更高的制作等级或者图纸"
"Cod_Bp_ChemicalProduct_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_ChemicalProduct_CardDescription"," Chemical products commonly used in various occasions.","常用于各类场合的化学制品。"
"Cod_Bp_ChemicalProduct_CardName"," Chemicals","化学制品"
"Cod_Bp_ChemicalProduct_UnlockConditionsDesc","Requires a higher crafting level or blueprint","需要更高的制作等级或者图纸"
"Cod_Bp_MaterialDistribution_WoodPlank_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_MaterialDistribution_WoodPlank_CardDescription"," Chemical products commonly used in various occasions.","常用于各类场合的化学制品。"
"Cod_Bp_MaterialDistribution_WoodPlank_CardName"," Chemicals","化学制品"
"Cod_Bp_MaterialDistribution_WoodPlank_UnlockConditionsDesc","Requires a higher crafting level or blueprint","需要更高的制作等级或者图纸"
"Cod_Bp_PlantingSystem_PlantingField_FourPiece_BlueprintFinishedLog.LogText"," I built myself a very comfortable bed.","I built myself a very comfortable bed."
"Cod_Bp_PlantingSystem_PlantingField_FourPiece_CardDescription"," A four-tile basic farmland that is commonly found everywhere.","一块常见于各处的四格基础耕地。"
"Cod_Bp_PlantingSystem_PlantingField_FourPiece_CardName"," <color=#00EE00> Four-square field </color>","<color=#00EE00>四格方田</color>"
"Cod_Bp_PlantingSystem_PlantingField_FourPiece_UnlockConditionsDesc"," Requires a higher level of carpentry","需要更高等级的木工"
"Cod_Bp_PlantingSystem_PlantingField_NinePiece_BlueprintFinishedLog.LogText"," I built myself a very comfortable bed.","I built myself a very comfortable bed."
"Cod_Bp_PlantingSystem_PlantingField_NinePiece_CardDescription"," A piece of farmland precisely planned into a nine-square grid.","一片被精确规划为九宫格的耕种地块。"
"Cod_Bp_PlantingSystem_PlantingField_NinePiece_CardName"," <color=#00EE00> Nine-grid field </color>","<color=#00EE00>九宫格田</color>"
"Cod_Bp_PlantingSystem_PlantingField_NinePiece_UnlockConditionsDesc"," Requires a higher level of carpentry","需要更高等级的木工"
"Cod_Bp_PlantingSystem_PlantingField_OnePiece_BlueprintFinishedLog.LogText"," I built myself a very comfortable bed.","I built myself a very comfortable bed."
"Cod_Bp_PlantingSystem_PlantingField_OnePiece_CardDescription"," A piece of basic arable land.","一块基础耕地。"
"Cod_Bp_PlantingSystem_PlantingField_OnePiece_CardName"," <color=#00EE00> Basic farmland </color>","<color=#00EE00>基础农田</color>"
"Cod_Bp_PlantingSystem_PlantingField_OnePiece_UnlockConditionsDesc"," Requires a higher level of carpentry","需要更高等级的木工"
"Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_BlueprintFinishedLog.LogText"," I built myself a very comfortable bed.","I built myself a very comfortable bed."
"Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_CardDescription"," Large and well-organized agricultural lands are often the core for the survival of various survivors.","庞大而井然有序的巨型农耕地，往往是各类幸存者延续的核心。"
"Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_CardName"," <color=#00EE00> Integrated Planting Garden </color>","<color=#00EE00>集成植园</color>"
"Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_UnlockConditionsDesc"," Requires a higher level of carpentry","需要更高等级的木工"
"Cod_Bp_PowerSystem_MeatProcessor_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_PowerSystem_MeatProcessor_CardDescription"," A bloody meat grinder.","一个血肉绞肉机。"
"Cod_Bp_PowerSystem_MeatProcessor_CardName"," Meat grinder","绞肉机"
"Cod_Bp_PowerSystem_MeatProcessor_UnlockConditionsDesc"," Requires a higher crafting level","需要更高的制作等级"
"Cod_Bp_ResourceProduction_RainCollector_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_ResourceProduction_RainCollector_CardDescription"," A sophisticated water collection instrument. \n\n During the fogging period, condensation droplets can be seen adhering to the surface of the instrument.","一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。"
"Cod_Bp_ResourceProduction_RainCollector_CardName"," Rainwater Collector","集雨器"
"Cod_Bp_ResourceProduction_RainCollector_TypeFour_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_ResourceProduction_RainCollector_TypeFour_CardDescription"," A sophisticated water collection instrument. \n\n During the fogging period, condensation droplets can be seen adhering to the surface of the instrument.","一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。"
"Cod_Bp_ResourceProduction_RainCollector_TypeFour_CardName"," Rainwater Collector","集雨器"
"Cod_Bp_ResourceProduction_RainCollector_TypeFour_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
"Cod_Bp_ResourceProduction_RainCollector_TypeThree_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_ResourceProduction_RainCollector_TypeThree_CardDescription"," A sophisticated water collection instrument. \n\n During the fogging period, condensation droplets can be seen adhering to the surface of the instrument.","一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。"
"Cod_Bp_ResourceProduction_RainCollector_TypeThree_CardName"," Rainwater Collector","集雨器"
"Cod_Bp_ResourceProduction_RainCollector_TypeThree_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
"Cod_Bp_ResourceProduction_RainCollector_TypeTwo_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_ResourceProduction_RainCollector_TypeTwo_CardDescription"," A sophisticated water collection instrument. \n\n During the fogging period, condensation droplets can be seen adhering to the surface of the instrument.","一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。"
"Cod_Bp_ResourceProduction_RainCollector_TypeTwo_CardName"," Rainwater Collector","集雨器"
"Cod_Bp_ResourceProduction_RainCollector_TypeTwo_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
"Cod_Bp_ResourceProduction_RainCollector_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_BlueprintFinishedLog.LogText"," I made an axe with flint.","I made an axe with flint."
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardDescription"," Powerful sound waves spread all around!","强劲的声波在四周传播！"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[0].ActionName","Pry open","撬开"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[1].ActionName","Pry open","撬开"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[2].ActionName"," Smash","砸开"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[3].ActionName"," Smash","砸开"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardName"," Powerful sound waves spread all around!","强劲的声波在四周传播！"
"Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_UnlockConditionsDesc"," Unable to build.","无法构建。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_BlueprintFinishedLog.LogText"," I made a bow.","我制作了一把弓。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_CardDescription"," A simple Molotov cocktail.","一个简易的燃烧瓶。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_CardName"," <color=#FFFF00> Molotov cocktail </color>","<color=#FFFF00>燃烧瓶</color>"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_CardDescription"," A simple Molotov cocktail.","一个简易燃烧瓶。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_CardName"," <color=#FFFF00> Molotov cocktail </color>","<color=#FFFF00>燃烧瓶</color>"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_UnlockConditionsDesc"," Requires a higher crafting level","需要更高的制作等级"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_BlueprintFinishedLog.LogText"," I crafted a bow.","I crafted a bow."
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_CardDescription"," A set of simple Molotov cocktails.","一组简易燃烧瓶。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_CardName"," <color=#FFFF00> Molotov cocktail set </color>","<color=#FFFF00>燃烧瓶组</color>"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_UnlockConditionsDesc"," Requires a higher crafting level","需要更高的制作等级"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_BlueprintFinishedLog.LogText"," I made a bow.","我制作了一把弓。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_CardDescription"," A set of simple Molotov cocktails.","一组简易燃烧瓶。"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_CardName"," <color=#FFFF00> Molotov cocktail set </color>","<color=#FFFF00>燃烧瓶组</color>"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_UnlockConditionsDesc"," Need more incendiary proficiency","需要更多的燃烧弹熟练"
"Cod_Bp_SpecialWeapons_IncendiaryBottle_UnlockConditionsDesc"," Requires a higher crafting level","需要更高的制作等级"
"Cod_Bp_Vehicle_AutoToolKit_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_Vehicle_AutoToolKit_CardDescription"," An old car tool box. \n\n Contains wrenches and other automotive tools.","一个老旧的车载工具箱。\n\n内含扳手等汽车用具。"
"Cod_Bp_Vehicle_AutoToolKit_CardName"," Car tool box","车载工具箱"
"Cod_Bp_Vehicle_AutoToolKit_UnlockConditionsDesc"," No prototype found yet","尚未找到制作原型"
"Cod_Bp_Vehicle_OilSuctionDevice._BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_Vehicle_OilSuctionDevice._CardDescription"," The plastic hose is bonded to the metal oil outlet. \n\n It feels sticky.","塑料软管粘合上金属出油口。\n\n触感黏腻。"
"Cod_Bp_Vehicle_OilSuctionDevice._CardName"," Grease gun","汲油枪"
"Cod_Bp_Vehicle_OilSuctionDevice._UnlockConditionsDesc"," No prototype found yet","尚未找到制作原型"
"Cod_Bp_Vehicle_TireRemover_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_Vehicle_TireRemover_CardDescription"," Specially used for removing tires from various vehicles.","专用于各类车辆拆卸轮胎。"
"Cod_Bp_Vehicle_TireRemover_CardName"," Tire rod","卸胎棒"
"Cod_Bp_Vehicle_TireRemover_UnlockConditionsDesc"," No prototype found yet","尚未找到制作原型"
"Cod_Bp_WaterContainer_Bucket_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_WaterContainer_Bucket_CardDescription"," Several pieces of plastic bonded together with a metal grip. \n\n A simple bucket.","几块塑料粘合搭配一个金属握把。\n\n一个简易制作的水桶。"
"Cod_Bp_WaterContainer_Bucket_CardName"," bucket","水桶"
"Cod_Bp_WaterContainer_Bucket_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
"Cod_CardTag_Civilization_Electrical_InGameName"," CardTag_Civilization_Electrical","CardTag_Civilization_Electrical"
"Cod_CardTag_Cure_LevelOne_InGameName"," ValueItem_Level_One","ValueItem_Level_One"
"Cod_CardTag_Cure_LeveThree_InGameName",,
"Cod_CardTag_Cure_LeveTwo_InGameName",,
"Cod_CardTag_InfectedLiquid_InGameName"," CardTag_InfectedLiquid","CardTag_InfectedLiquid"
"Cod_CardTag_InfectedMaterial_InGameName"," InfectedMaterial","InfectedMaterial"
"Cod_CardTag_InfectedPlant_InGameName"," InfectedPlant","InfectedPlant"
"Cod_CardTag_LongRangeWeapons_levelOne_InGameName"," LongRangeWeapons_levelOne","LongRangeWeapons_levelOne"
"Cod_CardTag_LongRangeWeapons_levelTwo_InGameName"," LongRangeWeapons_levelTwo","LongRangeWeapons_levelTwo"
"Cod_CardTag_Map_DecayCity_InGameName"," Map_DecayCity","Map_DecayCity"
"Cod_CardTag_Map_ModernStreet_InGameName"," CardTag_Map_ModernStreet","CardTag_Map_ModernStreet"
"Cod_CardTag_Map_Port_InGameName"," CardTag_Map_Port","CardTag_Map_Port"
"Cod_CardTag_Map_SmallTown_InGameName","CardTag_Map_SmallTown","CardTag_Map_SmallTown"
"Cod_CardTag_MiningTool_InGameName"," MiningTool","MiningTool"
"Cod_CardTag_Ruins_BasicMaterials_Chemicals_InGameName"," CardTag_Ruins_BasicMaterials_Chemicals","CardTag_Ruins_BasicMaterials_Chemicals"
"Cod_CardTag_Ruins_Npc_InGameName"," CardTag_Ruins_Npc","CardTag_Ruins_Npc"
"Cod_CardTag_Ruins_Wound_InGameName"," Ruins_Wound","Ruins_Wound"
"Cod_CardTag_Ruins_Zombie_BurnAllow_InGameName"," CardTag_Ruins_Zombie_BurnAllow","CardTag_Ruins_Zombie_BurnAllow"
"Cod_CardTag_Ruins_Zombie_InGameName"," Zombie","Zombie"
"Cod_CardTag_Ruins_Zombie_MobileCorpse_InGameName"," CardTag_Ruins_Zombie_MobileCorpse","CardTag_Ruins_Zombie_MobileCorpse"
"Cod_CardTag_SpecialWeapon_Explosives_InGameName"," Explosives","Explosives"
"Cod_CardTag_ValueItem_LevelFive_InGameName"," ValueItem_Level_Five","ValueItem_Level_Five"
"Cod_CardTag_ValueItem_LevelFour_InGameName"," ValueItem_Level_Four","ValueItem_Level_Four"
"COD_CardTag_ValueItem_LevelFour_InGameName"," ValueItem_Level_One","ValueItem_Level_One"
"Cod_CardTag_ValueItem_LevelOne_InGameName"," ValueItem_Level_One","ValueItem_Level_One"
"Cod_CardTag_ValueItem_LevelThree_InGameName"," ValueItem_Level_Three","ValueItem_Level_Three"
"Cod_CardTag_ValueItem_LevelTwo_InGameName"," ValueItem_Level_Two","ValueItem_Level_Two"
"COD_cod_BoarFightRaid_DismantleActions[2].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_CobraFight_DismantleActions[2].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_DroneFight_DismantleActions[2].ActionName"," Revolver Attack","左轮攻击"
"Cod_Cod_Event_Intercoms_AerialBombardment_CardDescription"," The bombers have been launched and are positioned near the target area.","轰炸机已启动，定位目标区域附近。"
"Cod_Cod_Event_Intercoms_AerialBombardment_CardName"," Position bombing","定位轰炸"
"Cod_Cod_Event_Intercoms_AerialBombardment_DismantleActions[0].ActionName"," continue","继续"
"COD_cod_ExplorationResults[0].Action.ActionName"," Mysterious Border","神秘边境"
"COD_cod_GoatFight_DismantleActions[4].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_MacaqueFight_DismantleActions[2].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_MonitorFight_DismantleActions[2].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_PartridgeFight_DismantleActions[4].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_SeagullFight_DismantleActions[4].ActionName"," Revolver Attack","左轮攻击"
"COD_cod_SeahoundFight_DismantleActions[2].ActionName"," Revolver Attack","左轮攻击"
"Cod_En_BeginningPlot_PageStart_EncounterTitle",,
"Cod_En_BeginningPlot_PageStart_EnemyName",,
"Cod_En_BeginningPlot_PageStep_Five_EncounterTitle",,
"Cod_En_BeginningPlot_PageStep_Five_EnemyName",,
"Cod_En_BeginningPlot_PageStep_Four_EncounterTitle",,
"Cod_En_BeginningPlot_PageStep_Four_EnemyName",,
"Cod_En_BeginningPlot_PageStep_Six_EncounterTitle",,
"Cod_En_BeginningPlot_PageStep_Six_EnemyName",,
"Cod_En_BeginningPlot_PageStep_Three_EncounterTitle",,
"Cod_En_BeginningPlot_PageStep_Three_EnemyName",,
"Cod_En_BeginningPlot_PageStep_Two_EncounterTitle",,
"Cod_En_BeginningPlot_PageStep_Two_EnemyName",,
"Cod_En_DecayCity_Base_FirstEntry_PageStart_EncounterTitle"," explore","探索"
"Cod_En_DecayCity_Base_FirstEntry_PageStart_EnemyName"," explore","探索"
"Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesFail_EncounterTitle"," confrontation","对抗"
"Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesFail_EnemyName"," confrontation","对抗"
"Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesSuccess_EncounterTitle"," confrontation","对抗"
"Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesSuccess_EnemyName"," confrontation","对抗"
