Key,English,Chinese,IsDuplicate,IsNotCardKey,IsGameKey,CardDefault,SimpEn-English,SimpEn-Chinese,SimpCn-English,SimpCn-Chinese
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[2].ActionName,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[0].ActionName,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[1].ActionName,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[2].ActionName,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,Cod_PictureChange_Animal_Biocluster_Seagull,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[0].ActionName,,Cod_PictureChange_Animal_Biocluster_Vultures1,,,,Cod_PictureChange_Animal_Biocluster_Vultures1,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[1].ActionName,,Cod_PictureChange_Animal_Biocluster_Vultures2,,,,Cod_PictureChange_Animal_Biocluster_Vultures2,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[2].ActionName,,Cod_PictureChange_Animal_Biocluster_Vultures3,,,,Cod_PictureChange_Animal_Biocluster_Vultures3,,,,
CardActionPack_Cod_Nc_SpecialWeapon_Explosives_ExplosivesBox_CardInteractions[0].ActionName,,引爆！,,,,引爆！,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[0].ActionName,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[1].ActionNa1me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[2].ActionNa2me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[3].ActionNa3me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[4].ActionNa4me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[5].ActionNa5me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[6].ActionNa6me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[7].ActionNa7me,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,Cod_PictureChange_Exp_ParkingLot_GasStation,,,,
CardActionPack_Cod_Sta_AirDrop_DecayCity_Actions[0].ActionName,,Sta_AirDrop_DecayCity,,,,Sta_AirDrop_DecayCity,,,,
CardTag_AbandonedVehicles_InGameName,,CardTag_AbandonedVehicles,,,,CardTag_AbandonedVehicles,,,,
CardTag_Animal_Monitor_InGameName,,CardTag_Animal_Monitor,,,,CardTag_Animal_Monitor,,,,
CardTag_Animal_Seagull_InGameName,,CardTag_Animal_Seagull,,,,CardTag_Animal_Seagull,,,,
CardTag_Animal_Vultures_InGameName,,CardTag_Animal_Vultures,x,,,CardTag_Animal_Vultures,,,,
CardTag_Animal_Vultures_InGameName,,CardTag_Decay,x,,,CardTag_Decay,,,,
CardTag_BasicMaterial_Iron_SecondaryMaterial_InGameName,,CardTag_BasicMaterial_Iron_SecondaryMaterial,,,,CardTag_BasicMaterial_Iron_SecondaryMaterial,,,,
CardTag_Bombable_InGameName,,CardTag,,,,CardTag,,,,
CardTag_Cod_RemoteWeapon_Silencer_InGameName,,Cod_RemoteWeapon_Silencer,,,,Cod_RemoteWeapon_Silencer,,,,
CardTag_ConsumeFood_InGameName,,CardTag_ConsumeFood,,,,CardTag_ConsumeFood,,,,
CardTag_DealSystem_Goods_InGameName,,CardTag_DealSystem_Goods,,,,CardTag_DealSystem_Goods,,,,
CardTag_Decomposable_InGameName,,CardTag_Decomposable,,,,CardTag_Decomposable,,,,
CardTag_ElectricalAppliance_InGameName,,CardTag_ElectricalAppliance,,,,CardTag_ElectricalAppliance,,,,
CardTag_ElectricPowerSource_InGameName,,CardTag_ElectricPowerSource,,,,CardTag_ElectricPowerSource,,,,
CardTag_Explosives_Grenade_InGameName,,CardTag_Explosives_Grenade,,,,CardTag_Explosives_Grenade,,,,
CardTag_FoodSource_InGameName,,CardTag_FoodSource,,,,CardTag_FoodSource,,,,
CardTag_InfectedMaterial_Meat_InGameName,,CardTag_InfectedMaterial_Meat,,,,CardTag_InfectedMaterial_Meat,,,,
CardTag_Vehicle_EquipmentRemoval_InGameName,,CardTag_Vehicle_EquipmentRemoval,,,,CardTag_Vehicle_EquipmentRemoval,,,,
CardTag_Vehicle_InGameName,,CardTag_Vehicle,,,,CardTag_Vehicle,,,,
CardTag_Vehicle_OilSuctionDevice_InGameName,,CardTag_Vehicle_OilSuctionDevice,,,,CardTag_Vehicle_OilSuctionDevice,,,,
CardTag_Vehicle_TireRemover_InGameName,,Vehicle_TireRemover,,,,Vehicle_TireRemover,,,,
CardTag_ZombieCorpse_InGameName,,CardTag_ZombieCorpse,,,,CardTag_ZombieCorpse,,,,
Cod_50铸币蓝图_BlueprintFinishedLog.LogText,,I mad,,,,I mad,,,,
Cod_50铸币蓝图_CardDescription,,装入五袋铸币,,,,装入五袋铸币,,,,
Cod_50铸币蓝图_CardName,,装入5袋铸币,,,,装入5袋铸币,,,,
Cod_50铸币蓝图_UnlockConditionsDesc,,需要铸币,,,,需要铸币,,,,
Cod_79723866f3fc0c14bb0c12e2c3514e66_CardInteractions[0].ActionName,,投掷！,,,,投掷！,,,,
Cod_Bp_Bandage_BlueprintFinishedLog.LogText,,我做了一个草木灰敷料,,,,I made an ash dressing.,,,I made an ash dressing.,我做了一个草木灰敷料
Cod_Bp_Bandage_CardDescription,,无菌伤口敷料，有助于防止伤口感染，并加快伤口愈合。\n,,,,"Sterile wound dressing, should help protect wounds from infection and help them heal faster.",,,"Sterile wound dressing, should help protect wounds from infection and help them heal faster.\n",无菌伤口敷料，有助于防止伤口感染，并加快伤口愈合。\n
Cod_Bp_Bandage_CardName,,绷带,,,,绷带,,,,
Cod_Bp_Bandage_MedicalBandages_BlueprintFinishedLog.LogText,,I made an ash dressing.,,,,I made an ash dressing.,,,,
Cod_Bp_Bandage_MedicalBandages_CardDescription,,散发着淡淡消毒水的味道。,,,,散发着淡淡消毒水的味道。,,,,
Cod_Bp_Bandage_MedicalBandages_CardName,,医用绷带,,,,医用绷带,,,,
Cod_Bp_Bandage_MedicalBandages_UnlockConditionsDesc,,Ash Needed,,,,Ash Needed,,,,
Cod_Bp_Bandage_UnlockConditionsDesc,,需要灰烬,,,,Ash Needed,,,Ash Needed,需要灰烬
Cod_Bp_Base_IronPillar_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_Base_IronPillar_CardDescription,,海岸边境上的铁柱。\n\n黄棕色锈迹上爬满了红色丝状植株。,,,,海岸边境上的铁柱。\n\n黄棕色锈迹上爬满了红色丝状植株。,,,,
Cod_Bp_Base_IronPillar_CardName,,铁柱,,,,铁柱,,,,
Cod_Bp_Base_IronPillar_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_Bp_Base_Organizer_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_Base_Organizer_CardDescription,,塑料简易缝合而成的收纳盒。\n\n可以保护存储物不受其他因素干扰。,,,,塑料简易缝合而成的收纳盒。\n\n可以保护存储物不受其他因素干扰。,,,,
Cod_Bp_Base_Organizer_CardName,,储物箱,,,,储物箱,,,,
Cod_Bp_Base_Organizer_UnlockConditionsDesc,,需要找到对应材料原型,,,,需要找到对应材料原型,,,,
Cod_Bp_Base_PlasticTent_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_Base_PlasticTent_CardDescription,,一个临时搭建的家。\n\n末世之中一个宁静栖息地。,,,,一个临时搭建的家。\n\n末世之中一个宁静栖息地。,,,,
Cod_Bp_Base_PlasticTent_CardName,,帐篷,,,,帐篷,,,,
Cod_Bp_Base_PlasticTent_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_Bp_BloodCraft_MeatMountain_Full_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_BloodCraft_MeatMountain_Full_CardDescription,,由腐肉堆积而成。\n\n注意到有僵尸和生物被吸引至附近。,,,,由腐肉堆积而成。\n\n注意到有僵尸和生物被吸引至附近。,,,,
Cod_Bp_BloodCraft_MeatMountain_Full_CardName,,腐堆,,,,腐堆,,,,
Cod_Bp_BloodCraft_MeatMountain_Full_UnlockConditionsDesc,,需要更高的制作等级或者图纸,,,,需要更高的制作等级或者图纸,,,,
Cod_Bp_BloodPlage_ScarletPreparation_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_BloodPlage_ScarletPreparation_CardDescription,,一瓶红色制剂。,,,,一瓶红色制剂。,,,,
Cod_Bp_BloodPlage_ScarletPreparation_CardName,,猩红制剂,,,,猩红制剂,,,,
Cod_Bp_BloodPlage_ScarletPreparation_UnlockConditionsDesc,,需要更高的制作等级或者图纸,,,,需要更高的制作等级或者图纸,,,,
Cod_Bp_ChemicalProduct_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_ChemicalProduct_CardDescription,,常用于各类场合的化学制品。,,,,常用于各类场合的化学制品。,,,,
Cod_Bp_ChemicalProduct_CardName,,化学制品,,,,化学制品,,,,
Cod_Bp_ChemicalProduct_UnlockConditionsDesc,,需要更高的制作等级或者图纸,,,,需要更高的制作等级或者图纸,,,,
Cod_Bp_MaterialDistribution_WoodPlank_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_MaterialDistribution_WoodPlank_CardDescription,,常用于各类场合的化学制品。,,,,常用于各类场合的化学制品。,,,,
Cod_Bp_MaterialDistribution_WoodPlank_CardName,,化学制品,,,,化学制品,,,,
Cod_Bp_MaterialDistribution_WoodPlank_UnlockConditionsDesc,,需要更高的制作等级或者图纸,,,,需要更高的制作等级或者图纸,,,,
Cod_Bp_PlantingSystem_PlantingField_FourPiece_BlueprintFinishedLog.LogText,,I built myself a very comfortable bed.,,,,I built myself a very comfortable bed.,,,,
Cod_Bp_PlantingSystem_PlantingField_FourPiece_CardDescription,,一块常见于各处的四格基础耕地。,,,,一块常见于各处的四格基础耕地。,,,,
Cod_Bp_PlantingSystem_PlantingField_FourPiece_CardName,,<color=#00EE00>四格方田</color>,,,,<color=#00EE00>四格方田</color>,,,,
Cod_Bp_PlantingSystem_PlantingField_FourPiece_UnlockConditionsDesc,,需要更高等级的木工,,,,需要更高等级的木工,,,,
Cod_Bp_PlantingSystem_PlantingField_NinePiece_BlueprintFinishedLog.LogText,,I built myself a very comfortable bed.,,,,I built myself a very comfortable bed.,,,,
Cod_Bp_PlantingSystem_PlantingField_NinePiece_CardDescription,,一片被精确规划为九宫格的耕种地块。,,,,一片被精确规划为九宫格的耕种地块。,,,,
Cod_Bp_PlantingSystem_PlantingField_NinePiece_CardName,,<color=#00EE00>九宫格田</color>,,,,<color=#00EE00>九宫格田</color>,,,,
Cod_Bp_PlantingSystem_PlantingField_NinePiece_UnlockConditionsDesc,,需要更高等级的木工,,,,需要更高等级的木工,,,,
Cod_Bp_PlantingSystem_PlantingField_OnePiece_BlueprintFinishedLog.LogText,,I built myself a very comfortable bed.,,,,I built myself a very comfortable bed.,,,,
Cod_Bp_PlantingSystem_PlantingField_OnePiece_CardDescription,,一块基础耕地。,,,,一块基础耕地。,,,,
Cod_Bp_PlantingSystem_PlantingField_OnePiece_CardName,,<color=#00EE00>基础农田</color>,,,,<color=#00EE00>基础农田</color>,,,,
Cod_Bp_PlantingSystem_PlantingField_OnePiece_UnlockConditionsDesc,,需要更高等级的木工,,,,需要更高等级的木工,,,,
Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_BlueprintFinishedLog.LogText,,I built myself a very comfortable bed.,,,,I built myself a very comfortable bed.,,,,
Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_CardDescription,,庞大而井然有序的巨型农耕地，往往是各类幸存者延续的核心。,,,,庞大而井然有序的巨型农耕地，往往是各类幸存者延续的核心。,,,,
Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_CardName,,<color=#00EE00>集成植园</color>,,,,<color=#00EE00>集成植园</color>,,,,
Cod_Bp_PlantingSystem_PlantingField_SixteenPiece_UnlockConditionsDesc,,需要更高等级的木工,,,,需要更高等级的木工,,,,
Cod_Bp_PowerSystem_MeatProcessor_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_PowerSystem_MeatProcessor_CardDescription,,一个血肉绞肉机。,,,,一个血肉绞肉机。,,,,
Cod_Bp_PowerSystem_MeatProcessor_CardName,,绞肉机,,,,绞肉机,,,,
Cod_Bp_PowerSystem_MeatProcessor_UnlockConditionsDesc,,需要更高的制作等级,,,,需要更高的制作等级,,,,
Cod_Bp_ResourceProduction_RainCollector_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_ResourceProduction_RainCollector_CardDescription,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,
Cod_Bp_ResourceProduction_RainCollector_CardName,,集雨器,,,,集雨器,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeFour_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeFour_CardDescription,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeFour_CardName,,集雨器,,,,集雨器,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeFour_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeThree_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeThree_CardDescription,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeThree_CardName,,集雨器,,,,集雨器,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeThree_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeTwo_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeTwo_CardDescription,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,一个精密的集水仪器。\n\n在起雾期间时长可见冷凝水滴附着在器械表面。,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeTwo_CardName,,集雨器,,,,集雨器,,,,
Cod_Bp_ResourceProduction_RainCollector_TypeTwo_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_Bp_ResourceProduction_RainCollector_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_BlueprintFinishedLog.LogText,,I made an axe with flint.,,,,I made an axe with flint.,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardDescription,,强劲的声波在四周传播！,,,,强劲的声波在四周传播！,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[0].ActionName,,撬开,,,,撬开,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[1].ActionName,,撬开,,,,撬开,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[2].ActionName,,砸开,,,,砸开,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardInteractions[3].ActionName,,砸开,,,,砸开,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_CardName,,强劲的声波在四周传播！,,,,强劲的声波在四周传播！,,,,
Cod_Bp_SpecialEvent_ContinuousSoundSource_Audio_UnlockConditionsDesc,,无法构建。,,,,无法构建。,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_BlueprintFinishedLog.LogText,,我制作了一把弓。,,,,I crafted a bow.,,,I crafted a bow.,我制作了一把弓。
Cod_Bp_SpecialWeapons_IncendiaryBottle_CardDescription,,一个简易的燃烧瓶。,,,,一个简易的燃烧瓶。,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_CardName,,<color=#FFFF00>燃烧瓶</color>,,,,<color=#FFFF00>燃烧瓶</color>,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_CardDescription,,一个简易燃烧瓶。,,,,一个简易燃烧瓶。,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_CardName,,<color=#FFFF00>燃烧瓶</color>,,,,<color=#FFFF00>燃烧瓶</color>,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeFour_UnlockConditionsDesc,,需要更高的制作等级,,,,需要更高的制作等级,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_BlueprintFinishedLog.LogText,,I crafted a bow.,,,,I crafted a bow.,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_CardDescription,,一组简易燃烧瓶。,,,,一组简易燃烧瓶。,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_CardName,,<color=#FFFF00>燃烧瓶组</color>,,,,<color=#FFFF00>燃烧瓶组</color>,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeThree_UnlockConditionsDesc,,需要更高的制作等级,,,,需要更高的制作等级,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_BlueprintFinishedLog.LogText,,我制作了一把弓。,,,,I crafted a bow.,,,I crafted a bow.,我制作了一把弓。
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_CardDescription,,一组简易燃烧瓶。,,,,一组简易燃烧瓶。,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_CardName,,<color=#FFFF00>燃烧瓶组</color>,,,,<color=#FFFF00>燃烧瓶组</color>,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_TypeTwo_UnlockConditionsDesc,,需要更多的燃烧弹熟练,,,,需要更多的燃烧弹熟练,,,,
Cod_Bp_SpecialWeapons_IncendiaryBottle_UnlockConditionsDesc,,需要更高的制作等级,,,,需要更高的制作等级,,,,
Cod_Bp_Vehicle_AutoToolKit_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_Vehicle_AutoToolKit_CardDescription,,一个老旧的车载工具箱。\n\n内含扳手等汽车用具。,,,,一个老旧的车载工具箱。\n\n内含扳手等汽车用具。,,,,
Cod_Bp_Vehicle_AutoToolKit_CardName,,车载工具箱,,,,车载工具箱,,,,
Cod_Bp_Vehicle_AutoToolKit_UnlockConditionsDesc,,尚未找到制作原型,,,,尚未找到制作原型,,,,
Cod_Bp_Vehicle_OilSuctionDevice._BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_Vehicle_OilSuctionDevice._CardDescription,,塑料软管粘合上金属出油口。\n\n触感黏腻。,,,,塑料软管粘合上金属出油口。\n\n触感黏腻。,,,,
Cod_Bp_Vehicle_OilSuctionDevice._CardName,,汲油枪,,,,汲油枪,,,,
Cod_Bp_Vehicle_OilSuctionDevice._UnlockConditionsDesc,,尚未找到制作原型,,,,尚未找到制作原型,,,,
Cod_Bp_Vehicle_TireRemover_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_Vehicle_TireRemover_CardDescription,,专用于各类车辆拆卸轮胎。,,,,专用于各类车辆拆卸轮胎。,,,,
Cod_Bp_Vehicle_TireRemover_CardName,,卸胎棒,,,,卸胎棒,,,,
Cod_Bp_Vehicle_TireRemover_UnlockConditionsDesc,,尚未找到制作原型,,,,尚未找到制作原型,,,,
Cod_Bp_WaterContainer_Bucket_BlueprintFinishedLog.LogText,,我制作了雨水收集器来收集雨水。,,,,我制作了雨水收集器来收集雨水。,,,,
Cod_Bp_WaterContainer_Bucket_CardDescription,,几块塑料粘合搭配一个金属握把。\n\n一个简易制作的水桶。,,,,几块塑料粘合搭配一个金属握把。\n\n一个简易制作的水桶。,,,,
Cod_Bp_WaterContainer_Bucket_CardName,,水桶,,,,水桶,,,,
Cod_Bp_WaterContainer_Bucket_UnlockConditionsDesc,,尚未掌握制作方法,,,,尚未掌握制作方法,,,,
Cod_CardTag_Civilization_Electrical_InGameName,,CardTag_Civilization_Electrical,,,,CardTag_Civilization_Electrical,,,,
Cod_CardTag_Cure_LevelOne_InGameName,,ValueItem_Level_One,,,,ValueItem_Level_One,,,,
Cod_CardTag_InfectedLiquid_InGameName,,CardTag_InfectedLiquid,,,,CardTag_InfectedLiquid,,,,
Cod_CardTag_InfectedMaterial_InGameName,,InfectedMaterial,,,,InfectedMaterial,,,,
Cod_CardTag_InfectedPlant_InGameName,,InfectedPlant,,,,InfectedPlant,,,,
Cod_CardTag_LongRangeWeapons_levelOne_InGameName,,LongRangeWeapons_levelOne,,,,LongRangeWeapons_levelOne,,,,
Cod_CardTag_LongRangeWeapons_levelTwo_InGameName,,LongRangeWeapons_levelTwo,,,,LongRangeWeapons_levelTwo,,,,
Cod_CardTag_Map_DecayCity_InGameName,,Map_DecayCity,,,,Map_DecayCity,,,,
Cod_CardTag_Map_ModernStreet_InGameName,,CardTag_Map_ModernStreet,,,,CardTag_Map_ModernStreet,,,,
Cod_CardTag_Map_Port_InGameName,,CardTag_Map_Port,,,,CardTag_Map_Port,,,,
Cod_CardTag_Map_SmallTown_InGameName,,CardTag_Map_SmallTown,,,,CardTag_Map_SmallTown,,,,
Cod_CardTag_MiningTool_InGameName,,MiningTool,,,,MiningTool,,,,
Cod_CardTag_Ruins_BasicMaterials_Chemicals_InGameName,,CardTag_Ruins_BasicMaterials_Chemicals,,,,CardTag_Ruins_BasicMaterials_Chemicals,,,,
Cod_CardTag_Ruins_Npc_InGameName,,CardTag_Ruins_Npc,,,,CardTag_Ruins_Npc,,,,
Cod_CardTag_Ruins_Wound_InGameName,,Ruins_Wound,,,,Ruins_Wound,,,,
Cod_CardTag_Ruins_Zombie_BurnAllow_InGameName,,CardTag_Ruins_Zombie_BurnAllow,,,,CardTag_Ruins_Zombie_BurnAllow,,,,
Cod_CardTag_Ruins_Zombie_InGameName,,Zombie,,,,Zombie,,,,
Cod_CardTag_Ruins_Zombie_MobileCorpse_InGameName,,CardTag_Ruins_Zombie_MobileCorpse,,,,CardTag_Ruins_Zombie_MobileCorpse,,,,
Cod_CardTag_SpecialWeapon_Explosives_InGameName,,Explosives,,,,Explosives,,,,
Cod_CardTag_ValueItem_LevelFive_InGameName,,ValueItem_Level_Five,,,,ValueItem_Level_Five,,,,
Cod_CardTag_ValueItem_LevelFour_InGameName,,ValueItem_Level_Four,,,,ValueItem_Level_Four,,,,
COD_CardTag_ValueItem_LevelFour_InGameName,,ValueItem_Level_One,,,,ValueItem_Level_One,,,,
Cod_CardTag_ValueItem_LevelOne_InGameName,,ValueItem_Level_One,,,,ValueItem_Level_One,,,,
Cod_CardTag_ValueItem_LevelThree_InGameName,,ValueItem_Level_Three,,,,ValueItem_Level_Three,,,,
Cod_CardTag_ValueItem_LevelTwo_InGameName,,ValueItem_Level_Two,,,,ValueItem_Level_Two,,,,
COD_cod_BoarFightRaid_DismantleActions[2].ActionName,,左轮攻击,,,,左轮攻击,,,,
COD_cod_CobraFight_DismantleActions[2].ActionName,,左轮攻击,,,,左轮攻击,,,,
COD_cod_DroneFight_DismantleActions[2].ActionName,,左轮攻击,,,,左轮攻击,,,,
Cod_Cod_Event_Intercoms_AerialBombardment_CardDescription,,轰炸机已启动，定位目标区域附近。,,,,轰炸机已启动，定位目标区域附近。,,,,
